category,skill
Marketing,HubSpot
Marketing,Salesforce
Marketing,Copywriting
Marketing,Social Media Marketing
Marketing,Facebook Ads
Marketing,Instagram Marketing
Marketing,LinkedIn Marketing
Marketing,YouTube Marketing
Marketing,Influencer Marketing
Marketing,Marketing Automation
Marketing,Campaign Management
Marketing,Keyword Research
Marketing,Conversion Optimization
Marketing,PPC
Marketing,Remarketing
Marketing,Customer Segmentation
Marketing,Product Marketing
Marketing,B2B Marketing
Marketing,B2C Marketing

HR,Recruitment
HR,Talent Acquisition
HR,Payroll
HR,Employee Relations
HR,HR Analytics
HR,Workforce Planning
HR,Onboarding
HR,Training and Development
HR,Compensation Management
HR,HRIS
HR,Performance Management
HR,Conflict Resolution
HR,Employee Engagement
HR,Labor Relations
HR,Benefits Administration
HR,Succession Planning
HR,Talent Management
HR,Interviewing
HR,Candidate Sourcing
HR,Background Verification
HR,Organizational Development
HR,Policy Development
HR,Compliance Management
HR,Employee Retention
HR,Career Development

Finance,Accounting
Finance,Financial Analysis
Finance,Financial Reporting
Finance,Budgeting
Finance,Forecasting
Finance,Auditing
Finance,Bookkeeping
Finance,Taxation
Finance,Risk Management
Finance,Financial Modeling
Finance,QuickBooks
Finance,Tally
Finance,SAP FICO
Finance,Microsoft Excel
Finance,Investment Analysis
Finance,Portfolio Management
Finance,Bank Reconciliation
Finance,Cost Accounting
Finance,Corporate Finance
Finance,Cash Flow Analysis
Finance,Credit Analysis
Finance,Equity Research
Finance,Financial Planning
Finance,Business Valuation
Finance,Treasury Management

Mechanical,AutoCAD
Mechanical,SolidWorks
Mechanical,CATIA
Mechanical,ANSYS
Mechanical,Creo
Mechanical,Fusion 360
Mechanical,Mechanical Design
Mechanical,Manufacturing
Mechanical,Lean Manufacturing
Mechanical,Six Sigma
Mechanical,CNC Programming
Mechanical,GD&T
Mechanical,Robotics
Mechanical,Product Design
Mechanical,Thermodynamics
Mechanical,Fluid Mechanics
Mechanical,Hydraulics
Mechanical,Pneumatics
Mechanical,Industrial Automation
Mechanical,Quality Control

Civil,AutoCAD Civil 3D
Civil,STAAD Pro
Civil,ETABS
Civil,Revit
Civil,Construction Management
Civil,Structural Analysis
Civil,Surveying
Civil,Quantity Estimation
Civil,Project Planning
Civil,Primavera
Civil,MS Project
Civil,Building Design
Civil,Road Design
Civil,Bridge Design
Civil,Geotechnical Engineering
Civil,Water Resources Engineering
Civil,Site Engineering
Civil,Cost Estimation
Civil,Construction Scheduling
Civil,Concrete Technology

Electrical,PLC
Electrical,SCADA
Electrical,Embedded Systems
Electrical,VLSI
Electrical,Circuit Design
Electrical,PCB Design
Electrical,MATLAB
Electrical,Simulink
Electrical,Arduino
Electrical,Raspberry Pi
Electrical,Power Systems
Electrical,Control Systems
Electrical,Electrical Maintenance
Electrical,Instrumentation
Electrical,Industrial Automation
Electrical,Microcontrollers
Electrical,Power Electronics
Electrical,Analog Electronics
Electrical,Digital Electronics
Electrical,Signal Processing

Healthcare,Patient Care
Healthcare,Clinical Research
Healthcare,Medical Coding
Healthcare,Medical Billing
Healthcare,Electronic Health Records
Healthcare,Nursing
Healthcare,Healthcare Management
Healthcare,Hospital Administration
Healthcare,Public Health
Healthcare,Epidemiology
Healthcare,Patient Assessment
Healthcare,Medical Documentation
Healthcare,Clinical Trials
Healthcare,Pharmacology
Healthcare,Healthcare Analytics
Healthcare,Disease Management
Healthcare,Infection Control
Healthcare,Emergency Care
Healthcare,First Aid
Healthcare,Healthcare Compliance

Professional,Communication
Professional,Leadership
Professional,Problem Solving
Professional,Critical Thinking
Professional,Decision Making
Professional,Time Management
Professional,Project Management
Professional,Teamwork
Professional,Negotiation
Professional,Presentation Skills
Professional,Adaptability
Professional,Creativity
Professional,Analytical Thinking
Professional,Customer Service
Professional,Business Analysis
Professional,Strategic Planning
Professional,Public Speaking
Professional,Emotional Intelligence
Professional,Collaboration
Professional,Research
Professional,Documentation
Professional,Attention to Detail
Professional,Networking
Professional,Innovation
Professional,Professional Writing
